author,category,changeDate,enabled,hitCount,name,severity,valid,detailPage
"ESET","Persistence","2021-09-14T16:30:41Z",true,0,".NET appx_process was enabled [A0111]",2,true,https://127.0.0.1/console/rule/20/details
"ESET","Persistence","2021-09-14T16:30:41Z",true,0,".NET profiler registry modified [A0109a]",2,true,https://127.0.0.1/console/rule/17/details
"ESET","Persistence","2021-09-14T16:30:41Z",true,0,".NET winappxrt.dll file modified [A0110]",2,true,https://127.0.0.1/console/rule/19/details
"ESET","File system","2021-09-14T16:30:42Z",true,0,"Accessibility Features file modified [A0304]",2,true,https://127.0.0.1/console/rule/95/details
"ESET","Discovery","2021-09-14T16:30:42Z",true,0,"Account discovery via PowerShell [C1110a]",1,true,https://127.0.0.1/console/rule/387/details
"ESET","Discovery","2021-09-14T16:30:43Z",true,0,"Account Discovery [F1100]",1,true,https://127.0.0.1/console/rule/725/details
"ESET","Persistence","2021-09-14T16:30:43Z",true,0,"Active Setup autostart registry modified by a compromised process [F0113]",2,true,https://127.0.0.1/console/rule/590/details
"ESET","Persistence","2021-09-14T16:30:41Z",true,0,"Active Setup autostart registry modified by an unpopular process [A0100]",2,true,https://127.0.0.1/console/rule/1/details
"ESET","File system","2021-09-14T16:30:43Z",true,0,"ADS wrote by compromised process [F0304]",1,true,https://127.0.0.1/console/rule/610/details
"ESET","File system","2021-09-14T16:30:42Z",true,0,"ADS wrote by unpopular process [A0300]",1,true,https://127.0.0.1/console/rule/91/details
"ESET","Communication","2021-09-14T16:30:42Z",true,0,"An uncommonly long DNS request [A0515]",2,true,https://127.0.0.1/console/rule/181/details
"ESET","Discovery","2021-09-14T16:30:43Z",true,0,"AntiVirus Enumeration via WMI query [E1119]",1,true,https://127.0.0.1/console/rule/572/details
"ESET","Discovery","2021-09-14T16:30:43Z",true,0,"AntiVirus Enumeration via WMIC [E1120]",1,true,https://127.0.0.1/console/rule/573/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:43Z",true,0,"AnyDesk Remote Desktop silent install [D0443]",2,true,https://127.0.0.1/console/rule/445/details
"ESET","Persistence","2021-09-14T16:30:41Z",true,0,"AppCertDLLs registry was modified [A0101b]",3,true,https://127.0.0.1/console/rule/3/details
"ESET","Persistence","2021-09-14T16:30:41Z",true,0,"AppInit_Dlls registry was modified [A0101a]",3,true,https://127.0.0.1/console/rule/2/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:44Z",true,0,"AppleScript was executed by osascript from an unpopular process [M0411]",2,true,https://127.0.0.1/console/rule/752/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:44Z",false,0,"Application opened from the command line [M0401]",2,true,https://127.0.0.1/console/rule/843/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:43Z",true,0,"Archive compression using C#.NET methods via PowerShell [TEST][E0447]",2,true,https://127.0.0.1/console/rule/508/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:43Z",true,0,"Archive compression via PowerShells Compress-Archive [E0446]",2,true,https://127.0.0.1/console/rule/507/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive related encryption utility (PACRYPT) encrypting files [E0611]",3,true,https://127.0.0.1/console/rule/552/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (7Zip) encrypting and deleting files [E0612]",3,true,https://127.0.0.1/console/rule/553/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (7Zip) encrypting files [E0613]",2,true,https://127.0.0.1/console/rule/554/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (Arc) encrypting files [E0601]",3,true,https://127.0.0.1/console/rule/542/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (B1) encrypting files [E0609]",3,true,https://127.0.0.1/console/rule/550/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (PACOMP) encrypting files [E0605]",3,true,https://127.0.0.1/console/rule/546/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (Pea) encrypting files [E0602]",3,true,https://127.0.0.1/console/rule/543/details
"ESET","Suspicious system configuration / Removing evidence","2021-09-14T16:30:43Z",true,0,"Archive Utility (PeaUtils) SDeleting (secure deleting) files [E1003]",3,true,https://127.0.0.1/console/rule/560/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (PeaZip) encrypting files [E0603]",3,true,https://127.0.0.1/console/rule/544/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (PKZIP) encrypting and deleting files [E0604]",3,true,https://127.0.0.1/console/rule/545/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (PKZIP) encrypting files [E0610]",3,true,https://127.0.0.1/console/rule/551/details
"ESET","Suspicious system configuration / Removing evidence","2021-09-14T16:30:43Z",true,0,"Archive Utility (PKZIP) shredding (secure deleting) files [E1002]",3,true,https://127.0.0.1/console/rule/559/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (WinAce) encrypting files [E0606]",3,true,https://127.0.0.1/console/rule/547/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (WinZip) encrypting files [E0607]",3,true,https://127.0.0.1/console/rule/548/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:43Z",true,0,"Archive Utility (ZPAQ) encrypting files [E0608]",3,true,https://127.0.0.1/console/rule/549/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:42Z",true,0,"Attempt to stop security account manager [C0417]",1,true,https://127.0.0.1/console/rule/302/details
"ESET","File system","2021-09-14T16:30:42Z",true,0,"Autorun.inf file was created/modified [A0301]",1,true,https://127.0.0.1/console/rule/92/details
"ESET","File system","2021-09-14T16:30:42Z",true,0,"Autorun.inf file was deleted [A0303]",1,true,https://127.0.0.1/console/rule/94/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:42Z",true,0,"Bad extension - filecoders (ext. A - C) [C0607]",2,true,https://127.0.0.1/console/rule/317/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:42Z",true,0,"Bad extension - filecoders (ext. D - L) [C0608]",2,true,https://127.0.0.1/console/rule/318/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:42Z",true,0,"Bad extension - filecoders (ext. M - Z) [C0609]",2,true,https://127.0.0.1/console/rule/319/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:42Z",true,0,"Bad extension - filecoders (ext. spec., num.) [C0606]",2,true,https://127.0.0.1/console/rule/316/details
"ESET","Ransomware / Filecoders","2021-09-14T16:30:42Z",true,0,"Bad extension - filecoders (extension parts) [C0612]",2,true,https://127.0.0.1/console/rule/322/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:44Z",true,0,"Base64 data being decoded via base64 utility [M0403A]",2,true,https://127.0.0.1/console/rule/747/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:44Z",true,0,"Base64 data being decoded via openssl utility [M0403B]",2,true,https://127.0.0.1/console/rule/748/details
"ESET","Persistence","2021-09-14T16:30:43Z",true,0,"Batch script started from Startup Folder [F0104]",1,true,https://127.0.0.1/console/rule/582/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:42Z",true,0,"bcdboot.exe executed [C0411]",1,true,https://127.0.0.1/console/rule/297/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:42Z",true,0,"bcdedit.exe executed [C0410]",1,true,https://127.0.0.1/console/rule/296/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:43Z",true,0,"BeamYourScreen remote desktop application started [D0429]",2,true,https://127.0.0.1/console/rule/432/details
"ESET","Suspicious process creation and process manipulation","2021-09-14T16:30:43Z",true,0,"BITS SetNotifyCmdLine usage [D0444]",2,true,https://127.0.0.1/console/rule/446/details
"ESET","Communication","2021-09-14T16:30:43Z",true,0,"BITS transfer using bitsadmin.exe [D0530]",2,true,https://127.0.0.1/console/rule/460/details
"ESET","Communication","2021-09-14T16:30:43Z",true,0,"BITS transfer using PowerShell [D0529]",2,true,https://127.0.0.1/console/rule/459/details
"ESET","Communication","2021-09-14T16:30:43Z",true,0,"Blockchain DNS resolvers accessed [D0526]",2,true,https://127.0.0.1/console/rule/456/details
"ESET","Persistence","2021-09-14T16:30:43Z",true,0,"Browser Helper Objects registry modified by a compromised process [F0117]",2,true,https://127.0.0.1/console/rule/594/details
"ESET","Persistence","2021-09-14T16:30:41Z",true,0,"Browser Helper Objects registry modified by an unpopular process [A0112]",2,true,https://127.0.0.1/console/rule/21/details
"ESET","Suspicious system configuration / Removing evidence","2021-09-14T16:30:44Z",true,0,"Certificate added into CERT ROOT [M1004]",3,true,https://127.0.0.1/console/rule/760/details
"ESET","Registry - altering security features","2021-09-14T16:30:43Z",true,0,"Certificate added to CERT ROOT by compromised process [F0202]",1,true,https://127.0.0.1/console/rule/600/details
"ESET","Registry - altering security features","2021-09-14T16:30:42Z",true,0,"Certificate added to CERT ROOT [D0215]",1,true,https://127.0.0.1/console/rule/397/details
"ESET","File system","2021-09-14T16:30:42Z",true,0,"Certutil has dropped a suspicious executable [A0313]",3,true,https://127.0.0.1/console/rule/104/details
